iter	Passed	Remaining
0	38	19303
1	74	18509
2	109	18190
3	139	17350
4	172	17123
5	204	16870
6	237	16726
7	266	16378
8	292	15954
9	319	15659
10	349	15524
11	376	15305
12	403	15111
13	432	14997
14	460	14881
15	489	14795
16	522	14843
17	555	14884
18	590	14952
19	625	15020
20	659	15047
21	691	15033
22	726	15062
23	755	14991
24	784	14912
25	817	14912
26	848	14865
27	880	14837
28	912	14823
29	945	14815
30	979	14822
31	1013	14820
32	1047	14826
33	1077	14765
34	1106	14702
35	1135	14639
36	1165	14585
37	1198	14568
38	1230	14542
39	1266	14559
40	1300	14554
41	1328	14488
42	1357	14431
43	1392	14434
44	1423	14396
45	1452	14338
46	1484	14309
47	1514	14259
48	1540	14176
49	1567	14105
50	1595	14044
51	1621	13965
52	1653	13941
53	1686	13929
54	1720	13916
55	1754	13914
56	1788	13900
57	1819	13863
58	1849	13824
59	1882	13804
60	1916	13789
61	1945	13746
62	1978	13722
63	2011	13700
64	2045	13686
65	2079	13671
66	2111	13647
67	2142	13611
68	2173	13574
69	2207	13558
70	2240	13535
71	2272	13507
72	2299	13448
73	2328	13402
74	2360	13376
75	2389	13333
76	2424	13317
77	2456	13288
78	2487	13257
79	2521	13235
80	2554	13211
81	2585	13177
82	2620	13165
83	2654	13144
84	2687	13123
85	2722	13108
86	2755	13081
87	2789	13061
88	2825	13046
89	2859	13028
90	2893	13004
91	2926	12976
92	2958	12945
93	2991	12922
94	3026	12903
95	3060	12878
96	3093	12851
97	3128	12832
98	3160	12803
99	3187	12750
100	3215	12702
101	3249	12679
102	3283	12657
103	3317	12633
104	3351	12608
105	3385	12582
106	3419	12558
107	3454	12537
108	3485	12501
109	3517	12470
110	3547	12433
111	3581	12407
112	3615	12381
113	3649	12355
114	3679	12317
115	3709	12279
116	3744	12258
117	3778	12233
118	3813	12210
119	3843	12170
120	3871	12126
121	3903	12093
122	3932	12052
123	3966	12028
124	4002	12007
125	4032	11969
126	4068	11947
127	4101	11918
128	4133	11886
129	4164	11853
130	4191	11807
131	4220	11767
132	4257	11747
133	4291	11721
134	4327	11701
135	4364	11680
136	4395	11646
137	4431	11624
138	4468	11604
139	4502	11579
140	4538	11554
141	4574	11532
142	4607	11503
143	4642	11477
144	4678	11453
145	4712	11425
146	4745	11396
147	4780	11368
148	4815	11343
149	4850	11317
150	4880	11281
151	4916	11257
152	4950	11227
153	4983	11197
154	5013	11159
155	5042	11118
156	5072	11082
157	5104	11049
158	5137	11017
159	5171	10990
160	5203	10955
161	5233	10918
162	5265	10885
163	5296	10850
164	5330	10822
165	5361	10788
166	5389	10747
167	5418	10707
168	5448	10670
169	5477	10633
170	5510	10603
171	5541	10567
172	5575	10538
173	5606	10504
174	5635	10466
175	5662	10424
176	5692	10388
177	5719	10346
178	5750	10312
179	5778	10273
180	5810	10239
181	5836	10197
182	5863	10156
183	5888	10113
184	5920	10080
185	5951	10046
186	5979	10008
187	6006	9968
188	6040	9939
189	6066	9898
190	6099	9867
191	6128	9831
192	6160	9798
193	6190	9764
194	6222	9733
195	6250	9694
196	6281	9661
197	6311	9626
198	6343	9594
199	6374	9561
200	6406	9530
201	6438	9498
202	6469	9464
203	6502	9434
204	6533	9401
205	6567	9373
206	6597	9339
207	6631	9309
208	6662	9277
209	6697	9248
210	6727	9215
211	6758	9180
212	6788	9147
213	6819	9114
214	6848	9078
215	6879	9045
216	6912	9014
217	6940	8978
218	6971	8945
219	7005	8916
220	7040	8888
221	7074	8859
222	7104	8824
223	7133	8789
224	7166	8758
225	7201	8730
226	7237	8703
227	7266	8669
228	7294	8632
229	7325	8599
230	7361	8572
231	7394	8541
232	7428	8512
233	7464	8485
234	7499	8457
235	7535	8429
236	7571	8402
237	7607	8374
238	7643	8347
239	7673	8312
240	7707	8283
241	7742	8254
242	7772	8220
243	7808	8192
244	7837	8157
245	7872	8128
246	7904	8096
247	7936	8064
248	7971	8035
249	8002	8002
250	8030	7966
251	8060	7932
252	8087	7895
253	8116	7860
254	8151	7831
