timestamp,stage,config_id,model,sharpe,acc,params
2026-02-16 22:08:35,screen,1,CatBoost,0.3358,0.4922,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.01, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:08:45,screen,2,CatBoost,0.3322,0.4885,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.01, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:08:58,screen,3,CatBoost,0.0089,0.4934,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:09:09,screen,4,CatBoost,-0.0977,0.4934,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:09:20,screen,5,CatBoost,0.2031,0.4958,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:09:34,screen,6,CatBoost,0.1716,0.4922,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:09:45,screen,7,CatBoost,0.2669,0.4958,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.01, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:09:58,screen,8,CatBoost,0.3319,0.4982,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.01, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:10:10,screen,9,CatBoost,-0.0073,0.4958,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:10:23,screen,10,CatBoost,0.0948,0.4934,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:10:35,screen,11,CatBoost,-0.0383,0.5078,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:10:49,screen,12,CatBoost,-0.2255,0.4970,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:11:02,screen,13,CatBoost,0.0479,0.5090,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.01, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:11:15,screen,14,CatBoost,0.1838,0.5139,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.01, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:11:29,screen,15,CatBoost,0.0243,0.5187,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:11:42,screen,16,CatBoost,0.2461,0.5018,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:11:54,screen,17,CatBoost,-0.1761,0.4982,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.05, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:12:06,screen,18,CatBoost,-0.1479,0.5078,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.05, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:12:13,screen,19,LightGBM,0.1103,0.4994,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:13,screen,20,LightGBM,0.2291,0.5006,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:14,screen,21,LightGBM,-0.0947,0.5127,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.03, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:14,screen,22,LightGBM,-0.3544,0.5078,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.03, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:15,screen,23,LightGBM,-0.2965,0.5054,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:15,screen,24,LightGBM,-0.1857,0.5187,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:16,screen,25,LightGBM,-0.4422,0.5090,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:17,screen,26,LightGBM,-0.3721,0.5103,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
