timestamp,stage,model,depth,lr,auc,accuracy,elapsed_s
2026-02-17 01:25:50,1,xgboost,3,0.01,0.5551,0.5303,0.8
2026-02-17 01:25:52,1,xgboost,3,0.05,0.5529,0.5424,0.2
2026-02-17 01:25:55,1,xgboost,3,0.1,0.5463,0.5327,0.2
2026-02-17 01:25:58,1,xgboost,5,0.01,0.5436,0.5339,0.4
2026-02-17 01:26:01,1,xgboost,5,0.05,0.5439,0.5508,0.6
2026-02-17 01:26:03,1,xgboost,5,0.1,0.5493,0.5569,0.4
2026-02-17 01:26:06,1,xgboost,7,0.01,0.5367,0.5230,0.7
2026-02-17 01:26:08,1,xgboost,7,0.05,0.5364,0.5315,0.6
2026-02-17 01:26:11,1,xgboost,7,0.1,0.5223,0.5242,0.6
2026-02-17 01:26:26,1,catboost,4,0.01,0.5658,0.5387,13.1
2026-02-17 01:26:40,1,catboost,4,0.05,0.5589,0.5472,12.2
2026-02-17 01:26:55,1,catboost,4,0.1,0.5497,0.5557,12.2
2026-02-17 01:27:09,1,catboost,5,0.01,0.5546,0.5375,11.3
2026-02-17 01:27:25,1,catboost,5,0.05,0.5669,0.5557,14.1
2026-02-17 01:27:40,1,catboost,5,0.1,0.5746,0.5630,12.4
2026-02-17 01:27:57,1,catboost,6,0.01,0.5636,0.5484,14.3
2026-02-17 01:28:14,1,catboost,6,0.05,0.5509,0.5545,14.4
2026-02-17 01:28:31,1,catboost,6,0.1,0.5522,0.5351,15.0
2026-02-17 01:28:34,1,lightgbm,3,0.01,0.5491,0.5363,1.1
2026-02-17 01:28:38,1,lightgbm,3,0.05,0.5590,0.5460,1.3
2026-02-17 01:28:41,1,lightgbm,3,0.1,0.5510,0.5315,1.1
2026-02-17 01:28:44,1,lightgbm,5,0.01,0.5484,0.5327,0.9
2026-02-17 01:28:47,1,lightgbm,5,0.05,0.5416,0.5145,0.9
2026-02-17 01:28:50,1,lightgbm,5,0.1,0.5398,0.5254,0.6
2026-02-17 01:28:54,1,lightgbm,7,0.01,0.5411,0.5327,1.2
2026-02-17 01:28:57,1,lightgbm,7,0.05,0.5489,0.5327,0.9
2026-02-17 01:29:00,1,lightgbm,7,0.1,0.5346,0.5073,1.0
