ts,stage,family,features,sharpe,acc,elapsed_s,params
2026-02-17 03:23:08,screen,CatBoost,top20,-0.8377,0.5264,10.4,"{""depth"": 4, ""learning_rate"": 0.05, ""iterations"": 300, ""l2_leaf_reg"": 1.0, ""border_count"": 32, ""task_type"": ""GPU"", ""devices"": ""0""}"
2026-02-17 03:23:19,screen,CatBoost,top20,-0.9117,0.5226,11.2,"{""depth"": 5, ""learning_rate"": 0.05, ""iterations"": 300, ""l2_leaf_reg"": 2.0, ""border_count"": 32, ""task_type"": ""GPU"", ""devices"": ""0""}"
2026-02-17 03:23:33,screen,CatBoost,top20,-1.1708,0.5138,14.6,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300, ""l2_leaf_reg"": 3.0, ""border_count"": 64, ""task_type"": ""GPU"", ""devices"": ""0""}"
2026-02-17 03:23:51,screen,CatBoost,top20,-0.8589,0.5163,17.6,"{""depth"": 4, ""learning_rate"": 0.1, ""iterations"": 300, ""l2_leaf_reg"": 1.0, ""border_count"": 32, ""task_type"": ""GPU"", ""devices"": ""0""}"
2026-02-17 03:24:04,screen,CatBoost,top20,-0.7200,0.5314,13.2,"{""depth"": 5, ""learning_rate"": 0.1, ""iterations"": 300, ""l2_leaf_reg"": 2.0, ""border_count"": 64, ""task_type"": ""GPU"", ""devices"": ""0""}"
2026-02-17 03:24:17,screen,CatBoost,top20,-0.0461,0.5025,13.2,"{""depth"": 3, ""learning_rate"": 0.01, ""iterations"": 300, ""l2_leaf_reg"": 1.0, ""border_count"": 32, ""task_type"": ""GPU"", ""devices"": ""0""}"
2026-02-17 03:24:32,screen,CatBoost,top20,-0.5998,0.5176,14.3,"{""depth"": 6, ""learning_rate"": 0.01, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""border_count"": 64, ""task_type"": ""GPU"", ""devices"": ""0""}"
2026-02-17 03:24:44,screen,CatBoost,top20,-0.7231,0.5377,12.6,"{""depth"": 5, ""learning_rate"": 0.03, ""iterations"": 300, ""l2_leaf_reg"": 3.0, ""border_count"": 32, ""task_type"": ""GPU"", ""devices"": ""0""}"
2026-02-17 03:24:46,screen,LightGBM,top20,-0.8394,0.5176,2.1,"{""max_depth"": 4, ""num_leaves"": 31, ""learning_rate"": 0.05, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""device"": ""gpu"", ""gpu_platform_id"": 0, ""gpu_device_id"": 0}"
2026-02-17 03:24:47,screen,LightGBM,top20,-0.6520,0.5289,1.0,"{""max_depth"": 5, ""num_leaves"": 63, ""learning_rate"": 0.05, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""device"": ""gpu"", ""gpu_platform_id"": 0, ""gpu_device_id"": 0}"
2026-02-17 03:24:48,screen,LightGBM,top20,-0.4655,0.5113,1.0,"{""max_depth"": 6, ""num_leaves"": 63, ""learning_rate"": 0.1, ""n_estimators"": 300, ""reg_lambda"": 2.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""device"": ""gpu"", ""gpu_platform_id"": 0, ""gpu_device_id"": 0}"
2026-02-17 03:24:49,screen,LightGBM,top20,-0.7133,0.5101,0.9,"{""max_depth"": 4, ""num_leaves"": 15, ""learning_rate"": 0.1, ""n_estimators"": 300, ""reg_lambda"": 0.5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""device"": ""gpu"", ""gpu_platform_id"": 0, ""gpu_device_id"": 0}"
2026-02-17 03:24:50,screen,LightGBM,top20,-0.0596,0.5251,0.6,"{""max_depth"": 3, ""num_leaves"": 31, ""learning_rate"": 0.01, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""device"": ""gpu"", ""gpu_platform_id"": 0, ""gpu_device_id"": 0}"
2026-02-17 03:24:51,screen,LightGBM,top20,-0.7339,0.5163,1.0,"{""max_depth"": 5, ""num_leaves"": 127, ""learning_rate"": 0.03, ""n_estimators"": 300, ""reg_lambda"": 2.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""device"": ""gpu"", ""gpu_platform_id"": 0, ""gpu_device_id"": 0}"
2026-02-17 03:24:52,screen,LightGBM,top20,-0.8970,0.5138,0.9,"{""max_depth"": 6, ""num_leaves"": 31, ""learning_rate"": 0.05, ""n_estimators"": 300, ""reg_lambda"": 3.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""device"": ""gpu"", ""gpu_platform_id"": 0, ""gpu_device_id"": 0}"
2026-02-17 03:24:53,screen,LightGBM,top20,-0.8274,0.5302,0.7,"{""max_depth"": 4, ""num_leaves"": 63, ""learning_rate"": 0.03, ""n_estimators"": 300, ""reg_lambda"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""device"": ""gpu"", ""gpu_platform_id"": 0, ""gpu_device_id"": 0}"
2026-02-17 03:24:53,screen,XGBoost,top20,-1.2793,0.5063,0.8,"{""max_depth"": 4, ""learning_rate"": 0.05, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""tree_method"": ""hist"", ""device"": ""cuda""}"
2026-02-17 03:24:54,screen,XGBoost,top20,-0.6399,0.5188,0.6,"{""max_depth"": 5, ""learning_rate"": 0.05, ""n_estimators"": 300, ""reg_lambda"": 2.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""tree_method"": ""hist"", ""device"": ""cuda""}"
2026-02-17 03:24:54,screen,XGBoost,top20,-0.7469,0.5176,0.5,"{""max_depth"": 6, ""learning_rate"": 0.1, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""tree_method"": ""hist"", ""device"": ""cuda""}"
2026-02-17 03:24:55,screen,XGBoost,top20,-0.4558,0.5214,0.6,"{""max_depth"": 3, ""learning_rate"": 0.01, ""n_estimators"": 500, ""reg_lambda"": 0.5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""tree_method"": ""hist"", ""device"": ""cuda""}"
2026-02-17 03:24:55,screen,XGBoost,top20,-1.3056,0.4950,0.3,"{""max_depth"": 4, ""learning_rate"": 0.1, ""n_estimators"": 200, ""reg_lambda"": 3.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""tree_method"": ""hist"", ""device"": ""cuda""}"
2026-02-17 03:24:56,screen,XGBoost,top20,-0.4122,0.5113,0.9,"{""max_depth"": 5, ""learning_rate"": 0.03, ""n_estimators"": 500, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""tree_method"": ""hist"", ""device"": ""cuda""}"
2026-02-17 03:24:57,screen,XGBoost,top20,-0.8660,0.5075,0.7,"{""max_depth"": 6, ""learning_rate"": 0.05, ""n_estimators"": 300, ""reg_lambda"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""tree_method"": ""hist"", ""device"": ""cuda""}"
2026-02-17 03:24:57,screen,XGBoost,top20,-0.9382,0.5113,0.4,"{""max_depth"": 3, ""learning_rate"": 0.05, ""n_estimators"": 300, ""reg_lambda"": 2.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""tree_method"": ""hist"", ""device"": ""cuda""}"
2026-02-17 03:25:09,screen,CatBoost,top10,-0.8503,0.5050,12.0,"{""depth"": 5, ""learning_rate"": 0.05, ""iterations"": 300, ""l2_leaf_reg"": 2.0, ""task_type"": ""GPU"", ""devices"": ""0""}"
2026-02-17 03:25:22,screen,CatBoost,top15,-0.4924,0.5364,12.3,"{""depth"": 5, ""learning_rate"": 0.05, ""iterations"": 300, ""l2_leaf_reg"": 2.0, ""task_type"": ""GPU"", ""devices"": ""0""}"
2026-02-17 03:25:23,screen,LightGBM,top10,-0.4162,0.5063,1.3,"{""max_depth"": 5, ""num_leaves"": 63, ""learning_rate"": 0.05, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""device"": ""gpu"", ""gpu_platform_id"": 0, ""gpu_device_id"": 0}"
2026-02-17 03:25:24,screen,LightGBM,top15,-0.7021,0.5239,0.7,"{""max_depth"": 5, ""num_leaves"": 63, ""learning_rate"": 0.05, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""device"": ""gpu"", ""gpu_platform_id"": 0, ""gpu_device_id"": 0}"
2026-02-17 03:26:34,wf_validate,CatBoost,top20,1.3250,0.5447,65.7,"{""depth"": 3, ""learning_rate"": 0.01, ""iterations"": 300, ""l2_leaf_reg"": 1.0, ""border_count"": 32, ""task_type"": ""GPU"", ""devices"": ""0""}"
2026-02-17 03:26:37,wf_validate,LightGBM,top20,1.1969,0.5441,3.0,"{""max_depth"": 3, ""num_leaves"": 31, ""learning_rate"": 0.01, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""device"": ""gpu"", ""gpu_platform_id"": 0, ""gpu_device_id"": 0}"
2026-02-17 03:26:42,wf_validate,XGBoost,top20,0.6230,0.5310,4.7,"{""max_depth"": 5, ""learning_rate"": 0.03, ""n_estimators"": 500, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""tree_method"": ""hist"", ""device"": ""cuda""}"
2026-02-17 03:26:46,wf_validate,LightGBM,top10,1.3647,0.5512,4.0,"{""max_depth"": 5, ""num_leaves"": 63, ""learning_rate"": 0.05, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""device"": ""gpu"", ""gpu_platform_id"": 0, ""gpu_device_id"": 0}"
